Code,Name,Image,ac_sale,ac_cost,ac_stock,ac_stock_adj,ac_cost_variant,ac_purchase
0001,នំធុងម៉ាឡេ 7ខាំ,0001.jpg,410101,500101,100430,500107,500108,100430
0002,នំធុងម៉ាឡេ 6ខាំ,0002.jpg,,,,,,
0003,នំឃុកឃីប្រអប់ដែកធំ,0003.jpg,,,,,,
0004,នំឃុកឃីប្រអប់ដែកតូច,0004.jpg,,,,,,
0005,នំធុងថងនួនខ្លី,0005.jpg,,,,,,
0006,នំធុងថងនួនដៃយួរ,0006.jpg,,,,,,
0007,នំប្រអប់ដែកជុ្រង 3 IN 1,0007.jpg,,,,,,
0008,នំដំឡូងកំប៉ុងឡុនដុន,0008.jpg,,,,,,
0009,នំម៉ាវម៉ាវកំប៉ុង,0009.jpg,,,,,,
0010,នំប្រៃកញ្ចប់ធំ,0010.jpg,,,,,,
0011,នំប្រៃកញ្ចប់តូច,0011.jpg,,,,,,
0012,នំឃុកឃីប្រអប់កាដូធំ ( 1052g ),0012.jpg,,,,,,
0013,នំស្នោរប្រអប់,0013.jpg,,,,,,
0014,នំចង្កឹះកែវ,0014.jpg,,,,,,
0015,នំម៉ាវម៉ាវកញ្ចប់,0015.jpg,,,,,,
0016,នំកន្ទុំរុយកញ្ចប់ធំ,0016.jpg,,,,,,
0017,នំទឹកដោះគោស្រូវសាឡី,0017.jpg,,,,,,
0018,នំរូបដាណូស័រកញ្ចប់ធំ,0018.jpg,,,,,,
0019,នំរូបដាណូស័រកញ្ចប់តូច,0019.jpg,,,,,,
0020,នំចង្កឹះប្រអប់,0020.jpg,,,,,,
0021,នំរូបខ្លាឃ្មុំប្រអប់,0021.jpg,,,,,,
0022,នំស្នោរកញ្ចប់,0022.jpg,,,,,,
0023,នំរ៉ូយ៉ាល់ប្រអប់,0023.jpg,,,,,,
0024,នំរ៉ូយ៉ាល់កញ្ចប់,0024.jpg,,,,,,
0025,នំដំឡូងកញ្ចប់,0025.jpg,,,,,,
0026,នំហេឡូប៊ីប៊ីកញ្ចប់តូច,0026.jpg,,,,,,
0027,នំពងទា​រមូល,0027.jpg,,,,,,
0028,នំពងទា​រមូលប្រអប់តូច,0028.jpg,,,,,,
0029,នំពងទា​រមូលប្រអប់ធំ,0029.jpg,,,,,,
0030,នំពងទាចាន,0030.jpg,,,,,,
0031,នំពងទាបេះដូង,0031.jpg,,,,,,
0032,ស្ករកំប៉ុងហ្វូតភ្លើស,0032.jpg,,,,,,
0033,កាហ្វេ​សាន់អាស៊ី30កញ្ចប់,0033.jpg,,,,,,
0034,កាហ្វេ​សាន់អាស៊ី50កញ្ចប់,0034.jpg,,,,,,
0035,ស្ករកញ្ចប់ 2.5Kg,0035.jpg,,,,,,
0036,ស្ករសុកូឡាកែវ,0036.jpg,,,,,,
0037,ចាហ៊ួយរូបខ្លាឃ្មុំ,0037.jpg,,,,,,
0038,ចាហ៊ួយរូបឡាន,0038.jpg,,,,,,
0039,ចាហ៊ួយកែវមូល​កន្ទុំរុយ,0039.jpg,,,,,,
0040,ចាហ៊ួយកែវជ្រុងកន្ទុំរុយ,0040.jpg,,,,,,
0041,ចាហ៊ួយកញ្ចប់ម៉ាឡេ,0041.jpg,,,,,,
