Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
9555311002638,នំធុងប្រេក​ថាម,WF_BREAK TIME,0001,8,3.08,3.67,600, No Tax, exclusive,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9555311002638.jpg,standard
9555311002683,នំធុងរូបសាន់នីដេ,WF_SUNNY DAY ,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9555311002683.jpg,standard
955531100254,នំធុងធីថាម,WF_TEA TIME,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,955531100254.jpg,standard
9555311002676,នំធុងរូបកាំជ្រូច,WF_FESTIVAL,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9555311002676.jpg,standard
9556422568907,នំធុងរូបកូឡាប,WF_BLOOSOM,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9556422568907.jpg,standard
9556422568891,នំធុងរូបវាលស្រែ,WF_BUMPER,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9556422568891.jpg,standard
9555311002652,នំធុងរូបត្រង៉ោខៀវ,WF_HAPPINESS-BLUE,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9555311002652.jpg,standard
9555311002669,នំធុងរូបត្រង៉ោក្រហម,WF_HAPPINESS-RED,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9555311002669jpg,standard
9555311002621,នំធុងកុងស៊ីហ្វាឆាយ,WF_GONG XI FA CAI,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,9555311002621jpg,standard
721557365229,នំធុងខ្មៅរូបកន្ទុំរុយ,DF_GOLDEN STORY,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,721557365229jpg,standard
721557365205,នំធុងរូបផ្លែក្រូច,DF_FAMILY ASSORTED,0001,8,3.08,3.67,600,,,,ធុង=1_3.67|កេស=6_22,,,,,,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,700g x 6ធុង,721557365205jpg,standard
955311002683,នំធុងម៉ាឡេ6ខាំមេអំបៅ,ASSORTED BISCUITS,0002,8,2.9,3.42,600,,,,ធុង=1_3.42|កេស=6_20.5,,,,,,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,955311002683.jpg,standard
9555311002935,នំធុងម៉ាឡេ6ខាំប្រាវូ,ASSORTED BISCUITS,0002,8,2.9,3.42,600,,,,ធុង=1_3.42|កេស=6_20.5,,,,,,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,9555311002935.jpg,standard
9555311002836,នំឃុកឃីប្រអប់ដែកតូចស្ត្របេរី,WF BUTTER SHORTBREAD RASPBERRY & ALMOND,0004,8,0,4.04,1200,,,,ធុង=1_4.04|កេស=12_48.5,,,,,,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,9555311002836.jpg,standard
9555311002829,នំឃុកឃីប្រអប់ដែកតូចប្លូបើរី,WF BUTTER SHORTBREAD BLUEBERRY & ALMOND,0004,8,0,4.04,1200,,,,ធុង=1_4.04|កេស=12_48.5,,,,,,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,9555311002829.jpg,standard
9555311002812,នំឃុកឃីប្រអប់ដែកតូចសូកូឡា,WF BUTTER SHORTBREAD COCOA,0004,8,0,4.04,1200,,,,ធុង=1_4.04|កេស=12_48.5,,,,,,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,400g x 12ធុង,9555311002812.jpg,standard
721557365502,នំធុងថងនួនខ្លី​ស្ត្របេរី,DF WAFER STICKS STRAWBERRY,0005,8,2.73,3.04,1200,,,,ធុង=1_3.04|កេស=12_36.5,,,,,,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,721557365502.jpg,standard
721557365519,នំធុងថងនួនខ្លី​សូកូឡា,DF WAFER STICKS CHOCOLATE,0005,8,2.73,3.04,1200,,,,ធុង=1_3.04|កេស=12_36.5,,,,,,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,721557365519.jpg,standard
721557365526,នំធុងថងនួនខ្លី​ដូង,DF WAFER STICKS COCONUT ,0005,8,2.73,3.04,1200,,,,ធុង=1_3.04|កេស=12_36.5,,,,,,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,721557365526.jpg,standard
721557365557,នំធុងថងនួនខ្លី​តយ,DF WAFER STICKS PANDAN,0005,8,2.73,3.04,1200,,,,ធុង=1_3.04|កេស=12_36.5,,,,,,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,721557365557.jpg,standard
721557365540,នំធុងថងនួនខ្លីធូរេ,DF WAFER STICKS DURIAN,0005,8,2.73,3.04,1200,,,,ធុង=1_3.04|កេស=12_36.5,,,,,,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,721557365540.jpg,standard
721557365533,នំធុងថងនួនខ្លី​​វ៉ានីឡា,DF WAFER STICKS VANILA,0005,8,2.73,3.04,1200,,,,ធុង=1_3.04|កេស=12_36.5,,,,,,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,500g x 12ធុង,721557365533.jpg,standard
721557362525,នំធុងថងនួនដៃយួរ​ដូង,TWINKLE COCONUT,0006,8,3.63,4.25,600,,,,ធុង=1_4.25|កេស=6_25.5,,,,,,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,721557362525.jpg,standard
721557362501,នំធុងថងនួនដៃយួរស្ត្របេរី,TWINKLE STRAWBERRY,0006,8,3.63,4.25,600,,,,ធុង=1_4.25|កេស=6_25.5,,,,,,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,721557362501.jpg,standard
721557362532,នំធុងថងនួនដៃយួរវ៉ានីឡា,TWINKLE VANILA,0006,8,3.63,4.25,600,,,,ធុង=1_4.25|កេស=6_25.5,,,,,,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,721557362532.jpg,standard
721557362518,នំធុងថងនួនដៃយួរសូកូឡា,TWINKLE CHOCOLATE,0006,8,3.63,4.25,600,,,,ធុង=1_4.25|កេស=6_25.5,,,,,,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,600g x 6ធុង,721557362518.jpg,standard
9556218120593,នំដំឡូងកំប៉ុងឡុនដុនដំឡូង,LONDON POTATO CHIPS ORIGINAL,0008,5,0.77,1.21,1400,,,,កំប៉ុង=1_1.21|កេស=14_17,,,,,,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,9556218120593.jpg,standard
9556218120609,នំដំឡូងកំប៉ុងឡុនដុនប៊ីប៊ីឃ្យូ,LONDON POTATO CHIPS BBQ,0008,5,0.77,1.21,1400,,,,កំប៉ុង=1_1.21|កេស=14_17,,,,,,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,160​g x 14កំប៉ុង,9556218120609.jpg,standard
